# The following table is formatted as tab separated values. 
#GeneId	GeneName	BioType	Bases affected (DOWNSTREAM)	Total score (DOWNSTREAM)	Length (DOWNSTREAM)	Bases affected (EXON)	Total score (EXON)	Length (EXON)	Bases affected (GENE)	Total score (GENE)	Length (GENE)	Bases affected (INTRON)	Total score (INTRON)	Length (INTRON)	Bases affected (NONE)	Total score (NONE)	Length (NONE)	Bases affected (SPLICE_SITE_ACCEPTOR)	Total score (SPLICE_SITE_ACCEPTOR)	Length (SPLICE_SITE_ACCEPTOR)	Bases affected (SPLICE_SITE_DONOR)	Total score (SPLICE_SITE_DONOR)	Length (SPLICE_SITE_DONOR)	Bases affected (UPSTREAM)	Total score (UPSTREAM)	Length (UPSTREAM)	Bases affected (UTR_3_PRIME)	Total score (UTR_3_PRIME)	Length (UTR_3_PRIME)	Bases affected (UTR_5_PRIME)	Total score (UTR_5_PRIME)	Length (UTR_5_PRIME)	Count (CODON_CHANGE_PLUS_CODON_DELETION)	Count (CODON_CHANGE_PLUS_CODON_INSERTION)	Count (CODON_DELETION)	Count (CODON_INSERTION)	Count (DOWNSTREAM)	Count (EXON)	Count (FRAME_SHIFT)	Count (INTRON)	Count (NON_SYNONYMOUS_CODING)	Count (NON_SYNONYMOUS_START)	Count (SPLICE_SITE_ACCEPTOR)	Count (SPLICE_SITE_DONOR)	Count (START_LOST)	Count (STOP_GAINED)	Count (STOP_LOST)	Count (SYNONYMOUS_CODING)	Count (SYNONYMOUS_START)	Count (SYNONYMOUS_STOP)	Count (UPSTREAM)	Count (UTR_3_PRIME)	Count (UTR_5_PRIME)
A1BG	A1BG	mRNA	0	0	5000	1	0	1766	9	0	6694	7	0	4928	0	0	0	0	0	14	0	0	14	3	0	5000	1	0	216	0	0	62	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	3	1	0
A1BG-AS1	A1BG-AS1	Non-coding_transcript	4	0	5000	1	0	2130	0	0	3214	3	0	1084	0	0	0	0	0	6	0	0	6	6	0	5000	0	0	0	0	0	0	0	0	0	0	4	1	0	3	0	0	0	0	0	0	0	0	0	0	6	0	0
A1CF	A1CF	mRNA	0	0	5000	2	0	9529	7	0	86267	5	0	76738	0	0	0	0	0	30	0	0	28	0	0	5000	0	0	7320	0	0	400	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0
A2M	A2M	mRNA	0	0	5000	6	0	4653	26	0	48255	19	0	43602	0	0	0	1	0	70	0	0	70	0	0	5000	0	0	115	1	0	113	0	0	0	0	0	0	0	19	4	0	1	0	0	1	0	1	0	0	0	0	1
A2M-AS1	A2M-AS1	Non-coding_transcript	5	0	5000	0	0	2187	0	0	2879	0	0	692	0	0	0	0	0	4	0	0	4	0	0	5000	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	A2ML1	mRNA	0	0	5000	8	0	5363	51	0	54232	43	0	48869	0	0	0	0	0	70	0	0	72	2	0	10000	0	0	729	0	0	98	0	0	0	0	0	8	2	43	4	0	0	0	0	0	0	2	0	0	2	0	0
A2MP1	A2MP1	Non-coding_transcript	0	0	5000	0	0	1201	0	0	5675	0	0	4474	0	0	0	0	0	16	0	0	16	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	A4GALT	mRNA	0	0	5000	14	0	2092	17	0	28750	2	0	26658	0	0	0	0	0	4	0	0	4	0	0	5000	1	0	769	0	0	261	0	0	0	0	0	0	0	2	8	0	0	0	0	2	0	4	0	0	0	1	0
A4GNT	A4GNT	mRNA	0	0	5000	4	0	1771	6	0	8670	1	0	6899	0	0	0	0	0	4	0	0	4	0	0	5000	1	0	546	0	0	202	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	1	0	1	0
AA06	AA06	Non-coding_transcript	0	0	5000	0	0	632	0	0	3974	0	0	3342	0	0	0	0	0	4	0	0	4	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
